"","cluster","X0","X1","X2","X4","isClusterMember","maxMembership","membership.of.cluster.1","membership.of.cluster.2","membership.of.cluster.3","membership.of.cluster.4","membership.of.cluster.5"
"A0AV96",4,-1.4267392751505,0.376734333571266,0.893262632890561,0.156742308688696,TRUE,0.709353792673399,0.0482221358920526,0.0872653483271158,0.077611679700092,0.709353792673399,0.0775470434073408
"A0MZ66",5,0.726929139729065,0.526441024960422,0.212649620912704,-1.46601978560218,FALSE,0.375783725485491,0.290925630110002,0.0905559028458749,0.128748283299003,0.113986458259629,0.375783725485491
"A1L188",3,0,-1.39285798333673,0.484391309424537,0.908466673912207,FALSE,0.409820727942259,0.145323967454649,0.204573686774828,0.409820727942259,0.141515025273753,0.098766592554511
"A2VCL2",2,-0.764554104839811,-0.0319661932838261,-0.625754716698949,1.42227501482257,TRUE,0.563612840205996,0.0766591514032501,0.563612840205996,0.119162268052985,0.157735994014636,0.0828297463231335
"A3KMH1",3,0.83222999560753,-1.41493904548322,0.551706031150694,0.0310030187250004,FALSE,0.3275119932992,0.306317136931973,0.126209681792943,0.3275119932992,0.115745010513026,0.124216177462858
"A4D2H0;A4FU28;P0CG41;Q86UF2;Q8IX94",4,-1.45116838245687,0.468674487468776,0.181563703106356,0.800930191881732,FALSE,0.436732464060001,0.0684317764446599,0.289923343542663,0.10921238081157,0.436732464060001,0.0957000351411067
"A6NDG6",1,1.22956631912573,-0.45299388044395,0.312224606732423,-1.08879704541421,TRUE,0.546666446765205,0.546666446765205,0.0764600055937743,0.134653556926878,0.0841333209341758,0.158086669779967
"A6NDR6;O00470;O14770;Q99687",4,-0.99644367359392,0.254386491810032,1.28400807796181,-0.541950896177933,FALSE,0.298378762332237,0.139596013537417,0.117667989003161,0.179822214949714,0.298378762332237,0.264535020177472
"A6NHG4;P30046",5,-0.10678633002287,0.761034590455468,0.720588291851652,-1.37483655228425,TRUE,0.758872554122171,0.086994365039082,0.0388159434651298,0.0546229164360384,0.0606942209375793,0.758872554122171
"A6NHQ2",4,-1.42454392119453,0.436935885705603,0.875953747882545,0.111654287606367,TRUE,0.677460681534238,0.0540076314265251,0.0945345794462535,0.0841998551829864,0.677460681534238,0.0897972524099969
"A6NIH7",4,-1.22011817753182,-0.188305531253502,1.19615899993853,0.2122647088468,FALSE,0.441187750667203,0.0935205884590608,0.146039382494617,0.201836783244242,0.441187750667203,0.117415495134877
"A6NIZ1;P61224",5,-0.994358884633982,1.21989286840608,0.386071162851248,-0.61160514662333,FALSE,0.360307526354586,0.123511266257463,0.131279154576159,0.125193687453723,0.259708365358069,0.360307526354586
"A6NIZ1;P61224;P62834",1,0.788062446945711,-1.1722166038229,0.874381484592044,-0.490227327714857,FALSE,0.469660110591007,0.469660110591007,0.0840834766939646,0.240458163831098,0.0896703659504565,0.116127882933474
"A6NJ78",5,0.708957377027675,0.501444971959912,0.26468256901358,-1.47508491800118,FALSE,0.378514439923359,0.29389058514629,0.0883101533816628,0.127326044976656,0.111958776572033,0.378514439923359
"A6NKD9",5,0,0.895255296463257,0.500469638767899,-1.39572493523116,TRUE,0.673477195181976,0.117181375137622,0.054839528564994,0.0727697719968914,0.0817321291185167,0.673477195181976
"A8MXV4",2,-0.769897177633853,-0.279094316105345,-0.418683218550145,1.46767471228934,TRUE,0.655301618583793,0.059383315399296,0.655301618583793,0.100992467595547,0.123033142033829,0.0612894563875356
"A8MYZ6",4,-1.22270542892381,1.20973177984124,-0.137485910962925,0.150459560045495,FALSE,0.338460292253316,0.112297553692775,0.209765277659283,0.133895004682605,0.338460292253316,0.205581871712022
"B5ME19;Q99613",2,-1.35881591231353,0.0370515280085512,0.287575376712941,1.03418900759204,FALSE,0.451909672147846,0.058896162653981,0.451909672147846,0.109607464348709,0.307643436493545,0.0719432643559192
"B7Z6K7;E7ETH6;Q9H707",3,-0.163402847075737,-1.34835312951057,0.835062208104847,0.676693768481467,TRUE,0.539692241996693,0.11993193090542,0.141890722680484,0.539692241996693,0.117965812370718,0.0805192920466859
"C4AMC7;Q6VEQ5",2,-1.21060783331663,-0.0278007393301691,0,1.23840857264681,TRUE,0.723184511527272,0.0372535847545031,0.723184511527272,0.0670338194702807,0.129388782022768,0.0431393022251765
"E9PAV3;Q13765",1,0.878863101101213,-0.324219378273356,0.714813868876697,-1.26945759170455,TRUE,0.64647468163826,0.64647468163826,0.0514925866597924,0.0985514714790126,0.062594261457113,0.140886998765822
"E9PAV3;Q13765;Q9H009",5,-0.916685477074296,0.896699604070596,0.83322371782044,-0.813237844816749,FALSE,0.438479753109695,0.120864991527057,0.101416327556388,0.119552322846907,0.219686604959953,0.438479753109695
"E9PRG8",1,1.07208903784028,-1.01140947117023,0.612246775684177,-0.672926342354197,TRUE,0.56327533656396,0.56327533656396,0.074772118928887,0.168740739462334,0.078670293367815,0.114541511677004
"L0R8F8",2,-1.0480617032185,-0.324558196133704,0.0327864422487273,1.33983345710347,TRUE,0.877963176637584,0.0179647092732197,0.877963176637584,0.0350386542721289,0.0499393363297813,0.0190941234872861
"O00115",2,-0.743902807294427,-0.515697357439766,-0.203077027814802,1.462677192549,TRUE,0.661455347219085,0.05754514010925,0.661455347219085,0.108125077383066,0.116316497793427,0.0565579374951726
"O00139",2,-1.29158358385058,0.212677833424663,-0.0540794221165295,1.13298517254244,TRUE,0.539906328094773,0.0588438142221884,0.539906328094773,0.0985586219401442,0.229866035000744,0.0728252007421499
"O00148;Q13838",4,-1.18609156727566,-0.375089717845065,1.12253434779476,0.438646937325973,FALSE,0.388928757265994,0.0930750336580607,0.176407478509704,0.235992682589648,0.388928757265994,0.105596047976594
"O00151",5,-0.921858900981825,0.211832918033972,1.31762260426803,-0.607596621320195,FALSE,0.279356732504327,0.148962485671276,0.114730312711698,0.185267583953614,0.271682885159085,0.279356732504327
"O00154",4,-1.27153333997897,0.999043363348581,0.553372025193092,-0.280882048562705,FALSE,0.380984372460519,0.106222200736938,0.143096126027423,0.12636701181523,0.380984372460519,0.24333028895989
"O00161",2,-0.897077149368869,-0.401969364200923,-0.121810748726081,1.42085726229587,TRUE,0.794411877250668,0.0328960654682716,0.794411877250668,0.0623243090093431,0.0766662640531061,0.033701484218611
"O00165",1,0.915780744294582,0.234803626568716,0.27449916781102,-1.42508353867431,FALSE,0.374387001312118,0.374387001312118,0.0879087251662436,0.134275967876937,0.106826666202823,0.296601639441878
"O00170",2,-0.55571598055354,-0.519086319077678,-0.422840786015545,1.49764308564676,TRUE,0.553214104174022,0.0818768533433438,0.553214104174022,0.142433613529906,0.143758965431912,0.0787164635208157
"O00193",2,-0.944567176559913,-0.323794744269572,-0.13995689276255,1.40831881359204,TRUE,0.844525076016457,0.0244865346726737,0.844525076016457,0.0454787830375583,0.0598780304251702,0.0256315758481412
"O00203",4,-1.30868490316585,0.327716368045809,1.08158331716714,-0.100614782047095,TRUE,0.51530951066135,0.086591182556852,0.117606693676746,0.133376896768465,0.51530951066135,0.147115716336586
"O00217",1,0.773923323626133,-1.31907983865858,0.778776467435408,-0.233619952402969,FALSE,0.365488598189146,0.365488598189146,0.103795755532409,0.306285802014337,0.103857110305047,0.120572733959062
"O00231",4,-1.48322206738119,0.671122584934105,0.306315118024103,0.505784364422943,TRUE,0.531535848156627,0.0684160015562645,0.191136716106962,0.101755745429482,0.531535848156627,0.107155688750664
"O00232",5,-0.843062950315971,0.0353734189580995,1.39425185205887,-0.586562320701014,FALSE,0.257031218674905,0.161769702976379,0.115506073316203,0.211067557388543,0.25462544764397,0.257031218674905
"O00233",2,-1.25271182347662,0.787152324206509,-0.359981366725429,0.825540865995535,FALSE,0.334522415172677,0.0938350829053345,0.334522415172677,0.129558751339693,0.308620183882933,0.133463566699362
"O00257",2,-0.619303151285775,-0.579416830636886,-0.284459828247278,1.48317981016994,TRUE,0.582821874650451,0.074170081297739,0.582821874650451,0.13637102323751,0.13569049887046,0.0709465219438401
"O00264",5,-0.443335944324867,0.974918202592116,0.659329914317415,-1.19091217258466,TRUE,0.70484701240772,0.0865071167070979,0.052602591958062,0.0663491304398097,0.08969414848731,0.70484701240772
"O00267",2,-1.3904417683422,0.413209526256077,0.031211404859286,0.946020837226835,FALSE,0.38084918547993,0.0701041572141471,0.38084918547993,0.112320901920606,0.343040916224157,0.0936848391611609
"O00268",2,-0.937053405638726,-0.201994878193631,-0.276765846123876,1.41581412995624,TRUE,0.778782861282807,0.0354944085102814,0.778782861282807,0.06209962318136,0.0856401565269677,0.037982950498584
